bordindx,st1st2, milemark, lat, long, st1, st2,
1 ,AL-FL ,0 ,31 ,85.002 ,01 ,12 ,
1 ,AL-FL ,153.55 ,30.997 ,87.598 ,01 ,12 ,
1 ,AL-FL ,164.1 ,30.846 ,87.625 ,01 ,12 ,
1 ,AL-FL ,182.99 ,30.655 ,87.397 ,01 ,12 ,
1 ,AL-FL ,196.11 ,30.466 ,87.426 ,01 ,12 ,
2 ,AL-GA ,0 ,34.984 ,85.605 ,01 ,13 ,
2 ,AL-GA ,148.29 ,32.864 ,85.184 ,01 ,13 ,
2 ,AL-GA ,181.15 ,32.426 ,84.964 ,01 ,13 ,
2 ,AL-GA ,188.45 ,32.326 ,85.006 ,01 ,13 ,
2 ,AL-GA ,196.62 ,32.261 ,84.889 ,01 ,13 ,
2 ,AL-GA ,210.07 ,32.133 ,85.062 ,01 ,13 ,
2 ,AL-GA ,230.75 ,31.84 ,85.141 ,01 ,13 ,
2 ,AL-GA ,252.4 ,31.538 ,85.041 ,01 ,13 ,
2 ,AL-GA ,276.87 ,31.188 ,85.108 ,01 ,13 ,
2 ,AL-GA ,291.26 ,31 ,85.002 ,01 ,13 ,
3 ,AL-MS ,0 ,30.348 ,88.394 ,01 ,28 ,
3 ,AL-MS ,106.72 ,31.894 ,88.473 ,01 ,28 ,
3 ,AL-MS ,164.87 ,32.732 ,88.37 ,01 ,28 ,
3 ,AL-MS ,165.94 ,32.747 ,88.368 ,01 ,28 ,
3 ,AL-MS ,314.71 ,34.892 ,88.097 ,01 ,28 ,
3 ,AL-MS ,323.89 ,34.995 ,88.2 ,01 ,28 ,
4 ,AL-TN ,0 ,34.995 ,88.2 ,01 ,47 ,
4 ,AL-TN ,146.7 ,34.984 ,85.605 ,01 ,47 ,
5 ,AR-LA ,0 ,33.019 ,94.042 ,05 ,22 ,
5 ,AR-LA ,166.47 ,33.004 ,91.166 ,05 ,22 ,
6 ,AR-MO ,0 ,36.001 ,89.733 ,05 ,29 ,
6 ,AR-MO ,35.95 ,35.996 ,90.377 ,05 ,29 ,
6 ,AR-MO ,63.34 ,36.303 ,90.064 ,05 ,29 ,
6 ,AR-MO ,77.62 ,36.497 ,90.151 ,05 ,29 ,
6 ,AR-MO ,113.03 ,36.499 ,90.789 ,05 ,29 ,
6 ,AR-MO ,113.76 ,36.499 ,90.802 ,05 ,29 ,
6 ,AR-MO ,325.35 ,36.499 ,94.617 ,05 ,29 ,
7 ,AR-MS ,0 ,33.004 ,91.166 ,05 ,28 ,
7 ,AR-MS ,4.59 ,33.059 ,91.121 ,05 ,28 ,
7 ,AR-MS ,11.08 ,33.125 ,91.201 ,05 ,28 ,
7 ,AR-MS ,17.39 ,33.136 ,91.093 ,05 ,28 ,
7 ,AR-MS ,27.35 ,33.275 ,91.043 ,05 ,28 ,
7 ,AR-MS ,33.28 ,33.301 ,91.141 ,05 ,28 ,
7 ,AR-MS ,44.56 ,33.449 ,91.059 ,05 ,28 ,
7 ,AR-MS ,51.67 ,33.378 ,91.148 ,05 ,28 ,
7 ,AR-MS ,55.68 ,33.407 ,91.209 ,05 ,28 ,
7 ,AR-MS ,62.27 ,33.473 ,91.125 ,05 ,28 ,
7 ,AR-MS ,68.85 ,33.437 ,91.231 ,05 ,28 ,
7 ,AR-MS ,77.39 ,33.561 ,91.23 ,05 ,28 ,
7 ,AR-MS ,83.99 ,33.607 ,91.129 ,05 ,28 ,
7 ,AR-MS ,91.83 ,33.69 ,91.222 ,05 ,28 ,
7 ,AR-MS ,102.47 ,33.681 ,91.037 ,05 ,28 ,
7 ,AR-MS ,109.2 ,33.726 ,91.14 ,05 ,28 ,
7 ,AR-MS ,118.86 ,33.783 ,90.986 ,05 ,28 ,
7 ,AR-MS ,132.91 ,33.967 ,91.09 ,05 ,28 ,
7 ,AR-MS ,144.85 ,34.026 ,90.893 ,05 ,28 ,
7 ,AR-MS ,154.57 ,34.164 ,90.927 ,05 ,28 ,
7 ,AR-MS ,161.35 ,34.159 ,90.809 ,05 ,28 ,
7 ,AR-MS ,170.35 ,34.238 ,90.934 ,05 ,28 ,
7 ,AR-MS ,175.71 ,34.207 ,90.848 ,05 ,28 ,
7 ,AR-MS ,187.64 ,34.364 ,90.762 ,05 ,28 ,
7 ,AR-MS ,194.31 ,34.314 ,90.661 ,05 ,28 ,
7 ,AR-MS ,203.03 ,34.418 ,90.573 ,05 ,28 ,
7 ,AR-MS ,221.73 ,34.689 ,90.569 ,05 ,28 ,
7 ,AR-MS ,226.56 ,34.624 ,90.535 ,05 ,28 ,
7 ,AR-MS ,232.46 ,34.684 ,90.461 ,05 ,28 ,
7 ,AR-MS ,238.75 ,34.711 ,90.567 ,05 ,28 ,
7 ,AR-MS ,243.97 ,34.785 ,90.547 ,05 ,28 ,
7 ,AR-MS ,249.98 ,34.737 ,90.459 ,05 ,28 ,
7 ,AR-MS ,260.7 ,34.892 ,90.464 ,05 ,28 ,
7 ,AR-MS ,270.18 ,34.848 ,90.306 ,05 ,28 ,
7 ,AR-MS ,276.59 ,34.924 ,90.241 ,05 ,28 ,
7 ,AR-MS ,282.78 ,34.995 ,90.308 ,05 ,28 ,
8 ,AR-OK ,0 ,36.499 ,94.617 ,05 ,40 ,
8 ,AR-OK ,76.66 ,35.398 ,94.431 ,05 ,40 ,
8 ,AR-OK ,198.23 ,33.637 ,94.485 ,05 ,40 ,
9 ,AR-TN ,0 ,34.995 ,90.308 ,05 ,47 ,
9 ,AR-TN ,16.97 ,35.139 ,90.065 ,05 ,47 ,
9 ,AR-TN ,27.13 ,35.265 ,90.16 ,05 ,47 ,
9 ,AR-TN ,28.08 ,35.277 ,90.168 ,05 ,47 ,
9 ,AR-TN ,37.06 ,35.386 ,90.08 ,05 ,47 ,
9 ,AR-TN ,42.6 ,35.421 ,90.169 ,05 ,47 ,
9 ,AR-TN ,51.95 ,35.429 ,90.002 ,05 ,47 ,
9 ,AR-TN ,60.32 ,35.547 ,90.04 ,05 ,47 ,
9 ,AR-TN ,67.63 ,35.514 ,89.916 ,05 ,47 ,
9 ,AR-TN ,73.43 ,35.592 ,89.955 ,05 ,47 ,
9 ,AR-TN ,79.99 ,35.639 ,89.853 ,05 ,47 ,
9 ,AR-TN ,88.49 ,35.729 ,89.957 ,05 ,47 ,
9 ,AR-TN ,103.51 ,35.814 ,89.71 ,05 ,47 ,
9 ,AR-TN ,110.32 ,35.909 ,89.742 ,05 ,47 ,
9 ,AR-TN ,116.02 ,35.892 ,89.642 ,05 ,47 ,
9 ,AR-TN ,125.07 ,36.001 ,89.733 ,05 ,47 ,
10 ,AR-TX ,0 ,33.637 ,94.485 ,05 ,48 ,
10 ,AR-TX ,8.56 ,33.545 ,94.386 ,05 ,48 ,
10 ,AR-TX ,28.27 ,33.551 ,94.043 ,05 ,48 ,
10 ,AR-TX ,65 ,33.019 ,94.042 ,05 ,48 ,
11 ,AZ-CA ,0 ,35.001 ,114.632 ,04 ,06 ,
11 ,AZ-CA ,40.19 ,34.456 ,114.384 ,04 ,06 ,
11 ,AZ-CA ,59.99 ,34.261 ,114.129 ,04 ,06 ,
11 ,AZ-CA ,79.5 ,34.106 ,114.415 ,04 ,06 ,
11 ,AZ-CA ,92.98 ,33.937 ,114.533 ,04 ,06 ,
11 ,AZ-CA ,119.43 ,33.554 ,114.524 ,04 ,06 ,
11 ,AZ-CA ,134.82 ,33.406 ,114.723 ,04 ,06 ,
11 ,AZ-CA ,141.83 ,33.304 ,114.73 ,04 ,06 ,
11 ,AZ-CA ,156.83 ,33.088 ,114.706 ,04 ,06 ,
11 ,AZ-CA ,168.96 ,33.024 ,114.51 ,04 ,06 ,
11 ,AZ-CA ,181.56 ,32.845 ,114.469 ,04 ,06 ,
11 ,AZ-CA ,198.44 ,32.719 ,114.718 ,04 ,06 ,
12 ,AZ-CO ,0 ,36.999 ,109.044 ,04 ,08 ,
13 ,AZ-NM ,0 ,36.999 ,109.044 ,04 ,35 ,
13 ,AZ-NM ,68.75 ,36.002 ,109.045 ,04 ,35 ,
13 ,AZ-NM ,140.7 ,34.96 ,109.045 ,04 ,35 ,
13 ,AZ-NM ,390.99 ,31.332 ,109.049 ,04 ,35 ,
14 ,AZ-NV ,0 ,37 ,114.049 ,04 ,32 ,
14 ,AZ-NV ,55.63 ,36.194 ,114.045 ,04 ,32 ,
14 ,AZ-NV ,70.96 ,36.016 ,114.21 ,04 ,32 ,
14 ,AZ-NV ,83.33 ,36.142 ,114.369 ,04 ,32 ,
14 ,AZ-NV ,103.94 ,36.103 ,114.735 ,04 ,32 ,
14 ,AZ-NV ,124.62 ,35.804 ,114.71 ,04 ,32 ,
14 ,AZ-NV ,125.79 ,35.79 ,114.698 ,04 ,32 ,
14 ,AZ-NV ,168.49 ,35.181 ,114.568 ,04 ,32 ,
14 ,AZ-NV ,181.37 ,35.001 ,114.632 ,04 ,32 ,
15 ,AZ-UT ,0 ,36.999 ,109.044 ,04 ,49 ,
15 ,AZ-UT ,275.79 ,37 ,114.049 ,04 ,49 ,
16 ,CA-NV ,0 ,35.001 ,114.632 ,06 ,32 ,
16 ,CA-NV ,194.99 ,36.972 ,117.166 ,06 ,32 ,
16 ,CA-NV ,401.5 ,39 ,120 ,06 ,32 ,
16 ,CA-NV ,608.18 ,41.995 ,119.998 ,06 ,32 ,
17 ,CA-OR ,0 ,41.995 ,119.998 ,06 ,41 ,
17 ,CA-OR ,216.27 ,41.998 ,124.215 ,06 ,41 ,
18 ,CO-KS ,0 ,40.003 ,102.051 ,08 ,20 ,
18 ,CO-KS ,207.67 ,36.993 ,102.041 ,08 ,20 ,
19 ,CO-NE ,0 ,40.003 ,102.051 ,08 ,31 ,
19 ,CO-NE ,68.95 ,41.002 ,102.051 ,08 ,31 ,
19 ,CO-NE ,173.19 ,41.001 ,104.053 ,08 ,31 ,
