0,1
AF,CN
AF,IR
AF,PK
AF,TJ
AF,TM
AF,UZ
AL,GR
AL,MK
AL,ME
AL,RS
DZ,LY
DZ,ML
DZ,MR
DZ,MA
DZ,NE
DZ,TN
DZ,EH
AD,FR
AD,ES
AO,CD
AO,NA
AO,CD
AO,ZM
AR,BO
AR,BR
AR,CL
AR,PY
AR,UY
AM,AZ
AM,GE
AM,IR
AM,TR
AT,CZ
AT,DE
AT,HU
AT,IT
AT,LI
AT,SK
AT,SI
AT,CH
AZ,GE
AZ,IR
AZ,RU
AZ,TR
BD,IN
BD,MM
BY,LV
BY,LT
BY,PL
BY,RU
BY,UA
BE,FR
BE,DE
BE,LU
BE,NL
BZ,GT
BZ,MX
BJ,NE
BJ,NG
BJ,TG
BT,CN
BT,IN
BO,BR
BO,CL
BO,PY
BO,PE
BA,HR
BA,RS
BA,ME
BW,NA
BW,ZA
BW,ZM
BW,ZW
BR,CO
BR,FR
BR,GY
BR,PY
BR,PE
BR,SR
BR,UY
BR,VE
BN,MY
BG,GR
BG,MK
BG,RO
BG,RS
BG,TR
BF,BJ
BF,CI
BF,GH
BF,ML
BF,NE
BF,TG
BI,CD
BI,RW
BI,TZ
KH,LA
KH,TH
KH,VN
CM,TD
CM,GQ
CM,GA
CM,NG
CA,US
CF,CM
CF,TD
CF,SS
CF,SD
CL,PE
CN,HK
CN,IN
CN,KZ
CN,KG
CN,LA
CN,MO
CN,MN
CN,MM
CN,NP
CN,KP
CN,PK
CN,RU
CN,TJ
CN,VN
CO,EC
CO,PA
CO,PE
CO,VE
CD,CF
CD,CD
CD,RW
CD,SS
CD,TZ
CD,UG
CD,ZM
CD,CM
CD,CF
CD,CD
CD,GA
CR,NI
CR,PA
CI,GH
CI,GN
CI,LR
CI,ML
HR,HU
HR,RS
HR,ME
HR,SI
CZ,DE
CZ,PL
CZ,SK
DJ,ER
DJ,ET
DJ,SO
DO,HT
EC,PE
EG,IL
EG,LY
EG,SD
ER,ET
ER,SD
EE,LV
EE,RU
ET,KE
ET,SO
ET,SS
ET,SD
FI,NO
FI,RU
FI,SE
FR,IT
FR,LU
FR,MC
FR,SR
GA,GQ
GM,SN
GE,RU
GE,TR
DE,DK
DE,FR
DE,LU
DE,NL
DE,PL
GH,TG
GR,MK
GR,TR
GT,SV
GT,HN
GT,MX
GN,GW
GN,LR
GN,ML
GN,SN
GN,SL
GW,SN
GY,SR
GY,VE
HN,SV
HN,NI
HU,RO
HU,RS
HU,SK
HU,SI
HU,UA
IN,MM
IN,NP
IN,PK
ID,TL
ID,MY
ID,PG
IR,PK
IR,TR
IR,TM
IQ,IR
IQ,JO
IQ,KW
IQ,SA
IQ,SY
IQ,TR
IL,JO
IL,LB
IL,SY
IT,SM
IT,SI
IT,VA
JO,SA
JO,SY
KZ,RU
KZ,TM
KZ,UZ
KE,SO
KE,SS
KE,TZ
KE,UG
KP,KR
KP,RU
KW,SA
KG,KZ
KG,TJ
KG,UZ
LA,MM
LA,TH
LA,VN
LV,RU
LB,SY
LS,ZA
LR,SL
LY,TD
LY,NE
LY,SD
LY,TN
LT,LV
LT,PL
LT,RU
MK,RS
MW,MZ
MW,TZ
MW,ZM
MY,SG
MY,TH
ML,MR
ML,NE
ML,SN
MR,SN
MX,US
MD,RO
MD,UA
MN,RU
ME,RS
MZ,ZA
MZ,SZ
MZ,TZ
MZ,ZM
MZ,ZW
MM,TH
NA,ZA
NA,ZM
NE,TD
NE,NG
NG,TD
NO,RU
NO,SE
OM,SA
OM,YE
PL,RU
PL,SK
PL,UA
QA,SA
RO,RS
RO,UA
RU,UA
RW,TZ
RW,UG
SA,YE
SK,UA
ZA,ZW
SS,UG
ES,FR
ES,PT
SD,TD
SD,SS
SZ,ZA
CH,FR
CH,DE
CH,IT
CH,LI
SY,TR
TJ,UZ
TZ,UG
TZ,ZM
TM,UZ
AE,OM
AE,SA
GB,IE
ZM,ZW
