country,x,y
AD,484.0,124.4
AE,624.1,184.0
AF,653.5,156.6
AG,315.0,203.8
AI,311.4,200.4
AL,533.4,129.8
AM,600.1,133.3
AN,296.5,217.0
AO,529.4,283.6
AP,760.3,150.2
AQ,480.0,Infinity
AR,309.2,346.6
AS,26.2,288.7
AT,515.6,106.2
AU,835.0,324.9
AW,293.2,216.4
AZ,606.8,131.6
BA,528.0,118.9
BB,321.1,214.5
BD,720.3,184.0
BE,490.7,91.9
BF,474.7,215.0
BG,546.7,122.6
BH,614.9,178.1
BI,560.1,259.3
BJ,486.0,224.5
BM,307.2,158.7
BN,786.1,238.0
BO,306.5,296.1
BR,333.2,276.8
BS,277.1,183.2
BT,721.6,173.6
BV,489.1,423.9
BW,544.1,310.2
BY,554.7,82.5
BZ,243.1,203.2
CA,226.4,48.6
CC,738.5,283.6
CD,546.7,250.0
CF,536.1,231.3
CG,520.0,252.7
CH,501.4,107.5
CI,466.7,228.6
CK,53.5,308.0
CL,290.5,334.0
CM,512.0,234.0
CN,760.3,150.2
CO,287.8,239.3
CR,255.8,223.2
CU,266.4,191.2
CV,415.9,206.7
CX,762.1,278.2
CY,568.1,150.2
CZ,521.4,96.5
DE,504.0,91.2
DJ,594.8,219.1
DK,506.7,68.7
DM,316.3,208.3
DO,291.4,198.3
DZ,488.0,172.1
EC,273.1,255.3
EE,549.4,53.8
EG,560.1,175.1
EH,445.3,182.5
ER,584.1,209.5
ES,469.3,133.3
ET,581.4,228.6
EU,501.4,107.5
FI,549.4,25.8
FJ,947.2,298.9
FK,322.5,412.0
FM,902.4,231.5
FO,461.3,37.6
FR,485.3,111.4
GA,511.4,252.7
GB,474.7,78.1
GD,315.4,217.4
GE,596.1,126.2
GF,338.5,239.3
GH,474.7,228.6
GI,465.7,146.3
GL,373.2,-31.8
GM,435.8,213.7
GN,453.3,220.5
GP,315.6,206.0
GQ,506.7,244.7
GR,538.7,136.8
GS,381.2,424.2
GT,239.1,208.1
GU,866.5,213.7
GW,440.0,217.7
GY,322.5,236.6
HK,784.8,189.1
HM,673.6,417.9
HN,249.1,209.5
HR,521.4,114.6
HT,286.7,198.3
HU,533.4,107.5
ID,800.3,263.4
IE,458.6,82.5
IL,572.8,161.3
IN,685.5,195.5
IO,670.9,266.0
IQ,597.5,156.6
IR,621.5,159.8
IS,431.9,19.6
IT,514.3,123.2
JM,273.1,200.4
JO,576.1,162.9
JP,848.4,146.9
KE,581.4,247.3
KG,680.2,129.8
KH,760.3,215.0
KI,941.8,246.2
KM,598.1,282.7
KN,312.5,203.0
KP,819.0,133.3
KR,820.4,143.6
KW,607.2,168.0
KY,265.1,196.9
KZ,661.5,103.6
LA,760.3,201.1
LB,575.7,153.9
LC,316.8,212.6
LI,505.4,106.9
LK,696.2,231.3
LR,454.6,232.6
LS,556.1,332.5
LT,544.1,68.7
LU,496.5,96.5
LV,546.7,63.9
LY,525.4,181.0
MA,466.7,159.8
MC,499.8,119.9
MD,557.4,107.5
ME,530.7,126.2
MG,605.5,304.5
MH,928.5,225.9
MK,538.7,126.8
ML,469.3,203.9
MM,741.6,189.8
MN,760.3,111.4
MO,783.1,189.3
MP,869.1,208.9
MQ,317.2,210.4
MR,448.0,195.5
MS,314.0,204.6
MT,518.9,147.4
MU,633.6,305.3
MV,674.9,241.3
MW,570.8,286.4
MX,207.7,186.9
MY,780.3,243.3
MZ,573.4,299.6
NA,525.4,310.2
NC,921.8,308.8
NE,501.4,206.7
NF,928.3,331.0
NG,501.4,223.2
NI,253.1,215.0
NL,495.3,84.8
NO,506.7,37.6
NP,704.2,172.1
NR,925.6,251.4
NU,26.6,301.8
NZ,944.5,370.2
OM,632.2,192.6
PA,266.4,225.9
PE,277.1,276.8
PF,106.3,290.5
PG,872.4,266.0
PH,805.7,215.0
PK,666.9,166.0
PL,533.4,86.9
PM,329.6,108.2
PR,302.5,200.4
PS,574.1,159.8
PT,458.6,135.1
PW,839.0,229.9
PY,325.2,313.1
QA,616.8,179.6
RE,628.4,307.6
RO,546.7,111.4
RS,536.1,118.9
RU,746.9,48.6
RW,560.1,255.3
SA,600.1,181.0
SB,904.4,271.4
SC,628.6,262.2
SD,560.1,209.5
SE,520.0,37.6
SG,757.1,246.4
SH,464.8,293.1
SI,520.0,111.4
SJ,533.4,-94.6
SK,532.1,100.9
SL,449.3,227.2
SM,513.1,119.8
SN,442.6,212.3
SO,610.8,223.2
SR,330.5,239.3
ST,498.7,247.3
SV,242.6,212.7
SY,581.4,150.2
SZ,564.1,323.4
TC,288.9,190.5
TD,530.7,209.5
TF,658.9,377.4
TG,483.1,228.6
TH,746.9,209.5
TJ,669.5,136.8
TK,20.9,274.1
TM,640.2,133.3
TN,504.0,153.4
TO,12.8,304.5
TR,573.4,136.8
TT,317.2,220.5
TV,955.2,271.4
TW,803.0,185.4
TZ,573.4,266.0
UA,565.4,99.5
UG,565.4,247.3
UM,924.7,197.5
US,218.9,141.0
UY,330.5,343.4
UZ,650.8,129.8
VA,513.2,126.6
VC,316.6,214.3
VE,303.8,228.6
VG,307.8,199.7
VI,306.9,200.2
VN,763.0,206.7
VU,925.8,293.3
WF,9.6,285.8
WS,20.0,286.6
YE,608.1,209.5
YT,600.6,284.5
ZA,544.1,330.9
ZM,560.1,290.5
ZW,560.1,304.5
