"Name of country","Within","Borders"
"(alphabetical order)","Continent / Subcontinent","Countries / Dependencies","Oceans / Seas"
"Afghanistan","Asia","China / Iran / Pakistan / Tajikistan / Turkmenistan / Uzbekistan",""
"Albania","Europe","Greece / Macedonia / Montenegro / Serbia","Atlantic Ocean / Adriatic Sea / Ionian Sea"
"Algeria","Africa","Libya / Mali / Mauritania / Morocco / Niger / Tunisia / Western Sahara","*Atlantic Ocean / Mediterranean Sea"
"Andorra","Europe","France / Spain",""
"Angola","Africa","Congo, Democratic Republic of the / Namibia / Republic of the Congo / Zambia","Atlantic Ocean"
"Antigua and Barbuda","Caribbean","","Atlantic Ocean / Caribbean Sea"
"Argentina","South America","Bolivia / Brazil / Chile /Paraguay / Uruguay","Atlantic Ocean / Scotia Sea"
"Armenia","Asia","Azerbaijan / Georgia / Iran / Turkey",""
"Australia","Australia","","Indian Ocean / Pacific Ocean / Arafura Sea / Coral Sea / Tasman Sea / Timor Sea"
"Austria","Europe","Czech Republic / Germany / Hungary / Italy / Liechtenstein / Slovakia / Slovenia / Switzerland",""
"Azerbaijan","Asia/Europe","Armenia / Georgia / Iran / Russia / Turkey","Caspian Sea"
"Bahamas","North America","","Atlantic Ocean"
"Bahrain","Middle East","","*Indian Ocean / Persian Gulf"
"Bangladesh","Asia","India / Myanmar (Burma)","*Indian Ocean"
"Barbados","Caribbean","","Atlantic Ocean"
"Belarus","Europe","Latvia / Lithuania / Poland / Russia / Ukraine",""
"Belgium","Europe","France / Germany / Luxembourg / Netherlands","*Atlantic Ocean / North Sea"
"Belize","Central America","Guatemala / Mexico","*Atlantic Ocean / Caribbean Sea"
"Benin","Africa","Burkina Faso / Niger / Nigeria / Togo","*Atlantic Ocean / Gulf of Guinea"
"Bhutan","Asia","China / India",""
"Bolivia","South America","Argentina / Brazil / Chile / Paraguay / Peru",""
"Bosnia and Herzegovina","Europe","Croatia / Serbia / Montenegro","*Atlantic Ocean / Adriatic Sea"
"Botswana","Africa","Namibia / South Africa / Zambia / Zimbabwe",""
"Brazil","South America","Argentina / Bolivia / Colombia / France / Guyana / Paraguay / Peru / Suriname / Uruguay / Venezuela /","Atlantic Ocean"
"Brunei Darussalam","Southeast Asia","Malaysia","*Pacific Ocean / South China Sea"
"Bulgaria","Europe","Greece / Macedonia / Romania / Serbia / Turkey","*Atlantic Ocean / Black Sea"
"Burkina Faso","Africa","Benin / Ivory Coast / Ghana / Mali / Niger / Togo",""
"Burundi","Africa","Congo, Democratic Republic of the / Rwanda / Tanzania",""
"Cambodia","Southeast Asia","Laos / Thailand / Vietnam","*Pacific Ocean"
"Cameroon","Africa","Central African Republic / Chad / Republic of the Congo / Equatorial Guinea / Gabon / Nigeria","*Atlantic Ocean / Gulf of Guinea"
"Canada","North America","United States","Arctic Ocean / Atlantic Ocean / Pacific Ocean / Baffin Bay / Beaufort Sea / Hudson Bay / Labrador Sea"
"Cape Verde","Africa","","Atlantic Ocean"
"Central African Republic","Africa","Cameroon / Chad / Congo, Democratic Republic of the / Republic of the Congo / South Sudan / Sudan",""
"Chad","Africa","Cameroon / Central African Republic / Libya / Niger / Nigeria / Sudan"
"Chile","South America","Argentina / Bolivia / Peru","Pacific Ocean"
