State,Votes,EV
AL,"2,123,372",9
AK,"318,608",3
AZ,"2,573,165",11
AR,"1,130,635",6
CA,"14,181,595",55
CO,"2,780,247",9
CT,"1,644,920",7
DE,"443,814",3
DC,"311,268",3
FL,"9,420,039",29
GA,"4,114,732",16
HI,"428,937",4
ID,"690,255",4
IL,"5,536,424",20
IN,"2,734,958",11
IA,"1,566,031",6
KS,"1,184,402",6
KY,"1,924,149",8
LA,"2,029,032",8
ME,"747,927",4
MD,"2,781,446",10
MA,"3,325,046",11
MI,"4,799,284",16
MN,"2,944,813",10
MS,"1,209,357",6
MO,"2,808,605",10
MT,"497,147",3
NE,"844,227",5
NV,"1,125,385",6
NH,"744,296",4
NJ,"3,874,046",14
NM,"798,319",5
NY,"7,721,453",29
NC,"4,741,564",15
ND,"344,360",3
OH,"5,496,487",18
OK,"1,452,992",7
OR,"2,001,336",7
PA,"6,165,478",20
RI,"464,144",4
SC,"2,103,027",9
SD,"370,093",3
TN,"2,508,027",11
TX,"8,969,226",38
UT,"1,131,430",6
VT,"315,067",3
VA,"3,984,631",13
WA,"3,317,019",12
WV,"714,423",5
WI,"2,976,150",10
WY,"255,849",3
